year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,mean_percentile,mean_centered_sqs,years_present
2017,Anett Kontaveit,98,3.7496268471058976,2.8762319053407435,WW_DCTL,68,-0.2595103841965913,-2.194011074998175,-0.09793026776899319,-0.45933132736144244,-0.08258882127961575,35,40,59.916959064327486,0.04408525454193106,5
2017,Donna Vekic,105.39759036144578,4.036237559290572,2.715610630499128,WW_DCTL,83,1.3037976601599013,-1.9821045422103996,-1.0309708184273911,-0.09957897133002769,0.277163534751799,90,7,82.4452798663325,0.22631637015771125,5
2017,Garbine Muguruza,98.66287878787878,5.751837600935298,3.005355003922622,WC_DNCTL,264,-0.11942642565179155,-0.7136702478172098,0.6521390310978837,-0.5204347608334932,-0.14369225475166647,23.333333333333332,47,47.50952380952381,0.004527996350861152,5
2017,Madison Keys,102.59154929577464,7.618731549446745,2.9293944739424194,WC_DNCTL,71,0.7108063810508723,0.666623673146343,0.2108883014487806,-0.2976312906222541,0.07911121545957261,65,22,67.78926482873851,0.10935817369581768,6
2017,Maria Sakkari,100,6.538865096999384,2.9026797376866447,WBC_DNCTL,38,0.1631429307271512,-0.13177898971194887,0.05570380144178779,-0.2844131428135486,0.09232936326827806,68.33333333333333,20,73.3092731829574,0.1496724622090776,5
2017,Ons Jabeur,96.37142857142857,8.160470409904343,2.6939889203770484,WW_DCTL,35,-0.6036709406344969,1.0671600059335185,-1.1565701970799032,-0.2904613174321483,0.08628118864967838,66.66666666666666,21,69.96160540239488,0.1292095725547907,6
2017,Petra Kvitova,97.70588235294117,7.7179807521628545,2.7577842462380033,WW_DCTL,85,-0.3216652834500834,0.7400038837784225,-0.785986499313639,-0.29990115638657167,0.07684134969525502,63.33333333333333,23,57.2208298524088,0.05105734894820102,6
2018,Ajla Tomljanovic,103.63636363636364,6.279023519914253,2.8294370305766097,WC_DNCTL,33,0.9316035033157747,-0.32389367814948017,-0.3697592378787849,-0.2247457593740334,0.13676707088826306,68.42105263157895,19,67.85183792815371,0.1930216937560753,5
2018,Anett Kontaveit,99.94871794871794,4.898704006639854,2.5466842714141786,WW_DCTL,39,0.15230566624192557,-1.3444372578633437,-2.0122551673205216,-0.144555197263034,0.21695763299926246,89.47368421052632,7,59.916959064327486,0.04408525454193106,5
2018,Donna Vekic,104.76271186440678,4.687985314833888,2.9719582264329905,WC_DNCTL,59,1.1696309094862334,-1.5002327863480107,0.45813890446541616,-0.3203371150481778,0.04117571521411867,61.40350877192983,23,82.4452798663325,0.22631637015771125,5
2018,Garbine Muguruza,101.46,4.760423579164067,2.374377004610103,WC_DNCTL,50,0.4716798506214819,-1.446675327457633,-3.0131790316084186,-0.019475321092988607,0.34203750916930786,100,1,47.50952380952381,0.004527996350861152,5
2018,Katie Boulter,106.51515151515152,4.880581497893028,3.006261362807503,WC_DNCTL,33,1.539968123281767,-1.35783619178554,0.6574040222634525,-0.2817471984543895,0.07976563180790697,63.1578947368421,22,74.12456140350878,0.14043107847392808,5
2018,Madison Keys,102.16778523489933,7.506216058783005,2.7917320280585023,WW_DCTL,149,0.6212537385136233,0.5834349907355277,-0.5887856174587102,-0.1808012695713569,0.18071156069093958,77.19298245614034,14,67.78926482873851,0.10935817369581768,6
2018,Petra Kvitova,100.7258064516129,4.985780945253818,2.716885965492835,WC_DNCTL,62,0.3165251821107661,-1.2800566490340073,-1.0235624644221337,-0.2725303476910826,0.08898248257121388,64.91228070175438,21,57.2208298524088,0.05105734894820102,6
2019,Ajla Tomljanovic,104.73076923076923,5.111224450619967,2.1416195253341384,WW_DCTL,26,1.1628805794890795,-1.1873095982337663,-4.365255005651424,0.2943014840470497,0.6517439723202876,98.4126984126984,2,67.85183792815371,0.1930216937560753,5
2019,Anett Kontaveit,102.24358974358974,4.501618460572682,2.7065727781172213,WW_DCTL,78,0.6372732519557072,-1.638023707043293,-1.0834712282983665,-0.18696256149095064,0.17047992678228718,77.77777777777779,15,59.916959064327486,0.04408525454193106,5
2019,Coco Gauff,106.79428571428572,7.575897308757605,3.195234124878591,WW_DCTL,175,1.598956620568095,0.6349540423783754,1.7551368733823984,-0.3023678433728585,0.05507464490037933,55.55555555555556,29,84.54356725146198,0.2716091844336937,5
2019,Donna Vekic,105,4.821124686548072,2.9007169254342657,WW_DCTL,75,1.2197762180365075,-1.4017957725237797,0.044301928143219045,-0.22162272885345902,0.1358197594197788,73.01587301587301,18,82.4452798663325,0.22631637015771125,5
2019,Garbine Muguruza,100.07317073170732,5.947227269503155,2.8285133589665965,WC_DNCTL,41,0.17860585688289882,-0.5692082809452644,-0.3751247977554827,-0.3488758139903502,0.008566674282887599,52.38095238095239,31,47.50952380952381,0.004527996350861152,5
2019,Madison Keys,101.02631578947368,7.080566636758798,2.807801664283918,WW_DCTL,38,0.3800308160169666,0.2687297498994755,-0.49543794450923995,-0.23884251640136644,0.11859997187187138,71.42857142857143,19,67.78926482873851,0.10935817369581768,6
