year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,tournament,gender
2016,Adrian Mannarino,110.86486486486487,9.958538124267115,2.421265260252627,WC_DNCTL,111,-1.207216115856264,1.6440808659954402,-2.0072788382709215,-0.13234516350203782,-0.017780181420847502,45.83333333333333,27,wimb,men
2016,Alexander Zverev,127.15555555555555,4.436597317236022,2.7569068874356555,WC_DNCTL,90,2.546946929115179,-2.410433359602443,0.03592050685957967,0.2294189855535366,0.34398396763472694,89.58333333333334,6,wimb,men
2016,Aljaz Bedene,113.95238095238095,5.765382150075182,2.5080508618438415,WC_DNCTL,63,-0.4957030795715974,-1.4347660723607774,-1.478976416946907,-0.15643259116535232,-0.04186760908416201,41.66666666666667,29,wimb,men
2016,Andreas Seppi,114.85106382978724,9.69306951743101,2.29453076020404,WW_DCTL,47,-0.28860307923611467,1.4491591382043478,-2.7787679103445404,0.11044358311902874,0.22500856520021906,81.25,10,wimb,men
2016,Andy Murray,117.44239631336406,9.397973075871262,2.5839985224952766,WC_DNCTL,217,0.3085652564586635,1.2324830161597502,-1.0166493456310877,0.04277512489005944,0.15734010697124975,79.16666666666666,11,wimb,men
2016,Benjamin Becker,116.6875,6.675315754743885,2.6047683510739583,WC_DNCTL,48,0.1346006348090721,-0.766642513379273,-0.8902141936310229,-0.06900774419390518,0.045557237887285135,56.25,22,wimb,men
2016,Bernard Tomic,110.46105919003115,8.46975561185862,2.608932650375586,WC_DNCTL,321,-1.3002724736616944,0.550934436809603,-0.8648642581137175,-0.28275077085317335,-0.16818578877198304,22.916666666666664,38,wimb,men
2016,Daniel Evans,116.46428571428571,7.340954324174098,2.5897298724071014,WW_DCTL,56,0.08316126747658957,-0.27789387532343074,-0.9817600785135485,-0.033334660146752654,0.08123032193443766,62.5,19,wimb,men
2016,David Ferrer,110.10810810810811,3.9354781142814135,2.6580039603881924,WW_DCTL,37,-1.3816094736450868,-2.778382783202321,-0.5661454450632164,-0.41868622731112615,-0.30412124522993583,6.25,46,wimb,men
2016,David Goffin,112.4625850340136,8.2148146402216,2.5853977445243443,WW_DCTL,147,-0.839024114110672,0.36374268081071964,-1.0081316609878643,-0.17432342253935953,-0.05975844045816922,37.5,31,wimb,men
2016,Denis Istomin,111.87323943661971,6.279057202808143,2.2171696664212344,WC_DNCTL,71,-0.9748378438328306,-1.0575974496930691,-3.2496991755818354,-0.0813848268113466,0.03318015526984372,54.166666666666664,23,wimb,men
2016,Dominic Thiem,119.00892857142857,6.569785515873537,2.7039973510551114,WC_DNCTL,112,0.6695700550668754,-0.8441286490846313,-0.2861632912413501,-0.02608221093228899,0.08848277114890132,64.58333333333334,18,wimb,men
2016,Dudi Sela,103.87755102040816,7.096456431033099,2.8761962143274187,WC_DNCTL,49,-2.817431171591545,-0.4574177457362834,0.7620875101359629,-0.7264709180532003,-0.61190593597201,0,49,wimb,men
2016,Dustin Brown,118.65934065934066,6.557810915609263,2.363337252757967,WC_DNCTL,91,0.5890080920753894,-0.8529210626243648,-2.359912294291149,0.13236337040809792,0.24692835248928824,85.41666666666666,8,wimb,men
2016,Feliciano Lopez,122.01388888888889,5.712583233419715,2.7960073138786217,WC_DNCTL,72,1.3620582490672544,-1.4735339560011034,0.27394213240433696,0.029490832610359036,0.14405581469154935,75,13,wimb,men
2016,Fernando Verdasco,114.96153846153847,8.69875906440926,2.9192691102071056,WC_DNCTL,104,-0.2631443809033115,0.719081432318019,1.0242913177889978,-0.24837353255040942,-0.1338085504692191,27.083333333333332,36,wimb,men
2016,Florian Mayer,113.77272727272727,7.2574533667554055,2.9020223497386364,WC_DNCTL,66,-0.5371039764307102,-0.3392048946798949,0.9193026428426007,-0.3258560581991101,-0.2112910761179198,12.5,43,wimb,men
2016,Gael Monfils,116.79787234042553,11.78533788114601,2.5167738839750315,WC_DNCTL,94,0.1600357602730469,2.9854182436350496,-1.4258755150844353,0.1116341977241276,0.2261991798053179,83.33333333333334,9,wimb,men
2016,Gilles Simon,109.6978417266187,8.118376610281283,2.723031356506567,WC_DNCTL,139,-1.4761546907402614,0.2929325475720981,-0.1702948639547147,-0.3813933548895232,-0.2668283728083329,10.416666666666668,44,wimb,men
2016,Grigor Dimitrov,117.08148148148148,6.7215979042076395,2.686744732787111,WC_DNCTL,135,0.2253930233126529,-0.7326596004959794,-0.3911876252097422,-0.09319417441647074,0.021370807664719577,50,25,wimb,men
2016,Guido Pella,116.16176470588235,5.994052510284604,2.7268974488294786,WC_DNCTL,68,0.013445795515391872,-1.2668636516645697,-0.14676024648582947,-0.1703812730324807,-0.0558162909512904,39.58333333333333,30,wimb,men
2016,Ivan Dodig,113.55208333333333,9.034285328874043,2.719243625875968,WW_DCTL,96,-0.5879510116545139,0.965443365535773,-0.19335245907163578,-0.17622343055077214,-0.06165844846958182,35.41666666666667,32,wimb,men
2016,Jack Sock,122.01612903225806,8.893711050251904,2.5668803158024467,WW_DCTL,62,1.362574486445502,0.862225958405857,-1.1208554567685658,0.24800823868686978,0.3625732207680601,93.75,4,wimb,men
2016,Janko Tipsarevic,114.94029850746269,5.435240222214613,2.42782200195367,WW_DCTL,67,-0.2680390936065461,-1.6771745279662036,-1.9673650455086917,-0.06306743938059553,0.051497542700594784,58.333333333333336,21,wimb,men
2016,Jeremy Chardy,121.45569620253164,6.76301682864035,2.8531206159162052,WC_DNCTL,79,1.2334236567787147,-0.7022475362979068,0.6216161152199341,0.00433886677669279,0.1189038488578831,70.83333333333334,15,wimb,men
2016,Jiri Vesely,121.46634615384616,6.300741626111878,2.8121046254341593,WC_DNCTL,208,1.2358779206533925,-1.041675547262146,0.3719336023679267,0.013755679135120241,0.12832066121631056,72.91666666666666,14,wimb,men
2016,Joao Sousa,115.12962962962963,6.835109959768342,2.7433093127031793,WBW_DNCTL,54,-0.2244080459365842,-0.6493127736952091,-0.046853957148152624,-0.38177415836828626,-0.26720917628709595,8.333333333333332,45,wimb,men
2016,John Millman,110.125,8.671244212365155,2.6482160468830416,WW_DCTL,64,-1.377716764765873,0.6988785067658301,-0.6257288126918471,-0.29130008720069844,-0.17673510511950813,18.75,40,wimb,men
2016,Kei Nishikori,107.76190476190476,9.676566782721071,3.0913507563868197,WW_DCTL,63,-1.9222882002590738,1.4370419180129406,2.0718285667716496,-0.58861570387592,-0.4740507217947297,4.166666666666666,47,wimb,men
2016,Kyle Edmund,110.64814814814815,8.806424343255728,2.6058175104454095,WC_DNCTL,54,-1.2571581290325606,0.7981352324113005,-0.8838274955367555,-0.2647697778077198,-0.1502047957265295,25,37,wimb,men
